mean|ud_vs_ud	mean|30m_vs_ud	mean|1h_vs_ud	mean|6h_vs_ud	mean|1d_vs_ud
NA	NA	NA	NA	RALGDS
NA	NA	NA	NA	RAPGEF4
NA	NA	NA	NA	RAPGEFL1
NA	NA	NA	NA	RBM11
NA	NA	NA	NA	RBM24
NA	NA	NA	NA	RBM25
NA	NA	NA	NA	RBM42
NA	NA	NA	NA	RDH8
NA	NA	NA	NA	RDH14
NA	NA	NA	NA	REEP4
NA	NA	NA	NA	RETSAT
NA	NA	NA	NA	REXO1L1P
NA	NA	NA	NA	REXO4
NA	NA	NA	NA	REXO5
NA	NA	NA	NA	RGPD2
NA	NA	NA	NA	RGS9
NA	NA	NA	NA	RGS20
NA	NA	NA	NA	RHBG
NA	NA	NA	NA	RIC8B
NA	NA	NA	NA	RIT2
NA	NA	NA	NA	RLF
NA	NA	NA	NA	RNF32
NA	NA	NA	NA	RNF39
NA	NA	NA	NA	ROBO4
NA	NA	NA	NA	RPGR
NA	NA	NA	NA	RPGRIP1
NA	NA	NA	NA	RPL37
NA	NA	NA	NA	RPP40
NA	NA	NA	NA	RSRP1
NA	NA	NA	NA	RTKN
NA	NA	NA	NA	RTN4IP1
NA	NA	NA	NA	RUFY3
NA	NA	NA	NA	RUSC1
NA	NA	NA	NA	SAMD3
NA	NA	NA	NA	SAMD11
NA	NA	NA	NA	SARM1
NA	NA	NA	NA	SAT1
NA	NA	NA	NA	SCML4
NA	NA	NA	NA	SEC14L4
NA	NA	NA	NA	SEC31B
NA	NA	NA	NA	SELENBP1
NA	NA	NA	NA	SELO
NA	NA	NA	NA	SEMA3C
NA	NA	NA	NA	SEPT3
NA	NA	NA	NA	SEPT5
NA	NA	NA	NA	SETMAR
NA	NA	NA	NA	SGPL1
NA	NA	NA	NA	SH2B3
NA	NA	NA	NA	SH3RF2
NA	NA	NA	NA	SH3YL1
NA	NA	NA	NA	SHC3
NA	NA	NA	NA	SHISA5
NA	NA	NA	NA	SHLD3
NA	NA	NA	NA	SIRT4
NA	NA	NA	NA	SIX6OS1
NA	NA	NA	NA	SLC4A3
NA	NA	NA	NA	SLC5A2
NA	NA	NA	NA	SLC6A13
NA	NA	NA	NA	SLC7A10
NA	NA	NA	NA	SLC9C2
NA	NA	NA	NA	SLC25A26
NA	NA	NA	NA	SLC30A6
NA	NA	NA	NA	SLC35B1
NA	NA	NA	NA	SLC41A3
NA	NA	NA	NA	SLC50A1
NA	NA	NA	NA	SLCO1A2
NA	NA	NA	NA	SLCO2B1
NA	NA	NA	NA	SLMAP
NA	NA	NA	NA	SMAP2
NA	NA	NA	NA	SMARCA5
NA	NA	NA	NA	SMEK3P
NA	NA	NA	NA	SMPX
NA	NA	NA	NA	SMRP1
NA	NA	NA	NA	SMYD3
NA	NA	NA	NA	SNX10
NA	NA	NA	NA	SORBS3
NA	NA	NA	NA	SOWAHC
NA	NA	NA	NA	SOX21
NA	NA	NA	NA	sp|P69208|MORN_HUMAN Morphogenetic neuropeptide OS=Homo sapiens OX=9606 PE=1 SV=1
NA	NA	NA	NA	sp|Q8IZM0|CNG1O_HUMAN Putative CNGA1-overlapping antisense gene protein OS=Homo sapiens OX=9606 PE=5 SV=1
NA	NA	NA	NA	sp|Q8N9G6|YJ012_HUMAN Putative UPF0607 protein FLJ37424 OS=Homo sapiens OX=9606 PE=2 SV=1
NA	NA	NA	NA	sp|Q8WTZ3|YS049_HUMAN Zinc finger protein ENSP00000375192 OS=Homo sapiens OX=9606 PE=2 SV=1
NA	NA	NA	NA	sp|Q9Y468-1|LMBL1_HU
NA	NA	NA	NA	SPANXN4
NA	NA	NA	NA	SPATA2
NA	NA	NA	NA	SPATC1L
NA	NA	NA	NA	SPATS1
NA	NA	NA	NA	SPRR2A
NA	NA	NA	NA	SPRR2B
NA	NA	NA	NA	SRL
NA	NA	NA	NA	SRP14-AS1
NA	NA	NA	NA	SRP54
NA	NA	NA	NA	SRPK2
NA	NA	NA	NA	SRSF5
NA	NA	NA	NA	SSPN
NA	NA	NA	NA	ST3GAL3
NA	NA	NA	NA	ST6GALNAC1
NA	NA	NA	NA	ST18
NA	NA	NA	NA	STARD3NL
NA	NA	NA	NA	STAT5A
NA	NA	NA	NA	STEAP2
NA	NA	NA	NA	STK33
NA	NA	NA	NA	STK35
NA	NA	NA	NA	STPG1
NA	NA	NA	NA	STRIP1
NA	NA	NA	NA	STX4
NA	NA	NA	NA	SUB1
NA	NA	NA	NA	SUN1
NA	NA	NA	NA	SUPT4H1
NA	NA	NA	NA	SV2C
NA	NA	NA	NA	SYNCRIP
NA	NA	NA	NA	SYNE1
NA	NA	NA	NA	SYNGR4
NA	NA	NA	NA	SYNJ1
NA	NA	NA	NA	SYT4
NA	NA	NA	NA	SYT11
NA	NA	NA	NA	TAAR9
NA	NA	NA	NA	TACC3
NA	NA	NA	NA	TADA2B
NA	NA	NA	NA	TAF1C
NA	NA	NA	NA	TAOK2
NA	NA	NA	NA	TAZ
NA	NA	NA	NA	TBC1D9B
NA	NA	NA	NA	TBC1D23
NA	NA	NA	NA	TCEAL2
NA	NA	NA	NA	TCEAL5
NA	NA	NA	NA	TCF24
NA	NA	NA	NA	TCP10L2
NA	NA	NA	NA	TEX54
NA	NA	NA	NA	THOC7
NA	NA	NA	NA	THTPA
NA	NA	NA	NA	TIGD7
NA	NA	NA	NA	TLK2
NA	NA	NA	NA	TLR5
NA	NA	NA	NA	TLR9
NA	NA	NA	NA	TMEM5
NA	NA	NA	NA	TMEM9B
NA	NA	NA	NA	TMEM98
NA	NA	NA	NA	TMEM167A
NA	NA	NA	NA	TMEM198B
NA	NA	NA	NA	TMEM208
NA	NA	NA	NA	TMEM214
NA	NA	NA	NA	TMPRSS3
NA	NA	NA	NA	TNFAIP8
NA	NA	NA	NA	TNFRSF13B
NA	NA	NA	NA	TNP1
NA	NA	NA	NA	TNS1
NA	NA	NA	NA	TOMM5
NA	NA	NA	NA	TOMM40
NA	NA	NA	NA	TONSL
NA	NA	NA	NA	TPPP
NA	NA	NA	NA	TPTE
NA	NA	NA	NA	TRABD
NA	NA	NA	NA	TRAF7
NA	NA	NA	NA	TRAJ3
NA	NA	NA	NA	TRAV7
NA	NA	NA	NA	TRAV18
NA	NA	NA	NA	TRBV2
NA	NA	NA	NA	TRIAP1
NA	NA	NA	NA	TRIM47
NA	NA	NA	NA	TRIM55
NA	NA	NA	NA	TRPA1
NA	NA	NA	NA	TRPM1
NA	NA	NA	NA	TTC39A
NA	NA	NA	NA	TTLL6
NA	NA	NA	NA	TTLL10
NA	NA	NA	NA	TXNIP
NA	NA	NA	NA	TXNRD1
NA	NA	NA	NA	UBA2
NA	NA	NA	NA	UBE2K
NA	NA	NA	NA	UGP2
NA	NA	NA	NA	UIMC1
NA	NA	NA	NA	UPP1
NA	NA	NA	NA	UQCRFS1
NA	NA	NA	NA	USP45
NA	NA	NA	NA	UST
NA	NA	NA	NA	UTP20
NA	NA	NA	NA	VAMP1
NA	NA	NA	NA	VAMP4
NA	NA	NA	NA	VCAN
NA	NA	NA	NA	VDAC2
NA	NA	NA	NA	VLDLR
NA	NA	NA	NA	VPS11
NA	NA	NA	NA	VPS37C
NA	NA	NA	NA	VPS51
NA	NA	NA	NA	WDHD1
NA	NA	NA	NA	WDR41
NA	NA	NA	NA	WDTC1
NA	NA	NA	NA	WFDC10A
NA	NA	NA	NA	WNK2
NA	NA	NA	NA	WNT2
NA	NA	NA	NA	WNT5A
NA	NA	NA	NA	WRNIP1
NA	NA	NA	NA	XXYLT1
NA	NA	NA	NA	YAF2
NA	NA	NA	NA	YTHDC2
NA	NA	NA	NA	YY1AP1
NA	NA	NA	NA	ZBTB11
NA	NA	NA	NA	ZC3H12B
NA	NA	NA	NA	ZCCHC5
NA	NA	NA	NA	ZCCHC17
NA	NA	NA	NA	ZCWPW1
NA	NA	NA	NA	ZFPM1
NA	NA	NA	NA	ZFYVE1
NA	NA	NA	NA	ZFYVE26
NA	NA	NA	NA	ZMYND8
NA	NA	NA	NA	ZNF14
NA	NA	NA	NA	ZNF57
NA	NA	NA	NA	ZNF71
NA	NA	NA	NA	ZNF74
NA	NA	NA	NA	ZNF140
NA	NA	NA	NA	ZNF227
NA	NA	NA	NA	ZNF234
NA	NA	NA	NA	ZNF280C
NA	NA	NA	NA	ZNF286A
NA	NA	NA	NA	ZNF287
NA	NA	NA	NA	ZNF480
NA	NA	NA	NA	ZNF503-AS2
NA	NA	NA	NA	ZNF594
NA	NA	NA	NA	ZNF662
NA	NA	NA	NA	ZNF669
NA	NA	NA	NA	ZNF761
NA	NA	NA	NA	ZNF765
NA	NA	NA	NA	ZNF861P
NA	NA	NA	NA	ZNF888
NA	NA	NA	NA	ZNHIT6
NA	NA	NA	NA	ZPBP2
NA	NA	NA	NA	ZRANB2
NA	NA	NA	NA	ZSCAN29
